Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Age,Race,Accent,Intensity/Level,Sentiment,Emotion
0,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_ANG_XX.wav,1001_DFA_ANG_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
1,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_DIS_XX.wav,1001_DFA_DIS_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
2,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_FEA_XX.wav,1001_DFA_FEA_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
3,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_HAP_XX.wav,1001_DFA_HAP_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
4,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_NEU_XX.wav,1001_DFA_NEU_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
5,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_SAD_XX.wav,1001_DFA_SAD_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
6,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_ANG_HI.wav,1001_IEO_ANG_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,High,,Anger
7,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_ANG_LO.wav,1001_IEO_ANG_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Low,,Anger
8,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_ANG_MD.wav,1001_IEO_ANG_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Medium,,Anger
9,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_DIS_HI.wav,1001_IEO_DIS_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,High,,Disgust
10,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_DIS_LO.wav,1001_IEO_DIS_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Low,,Disgust
11,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_DIS_MD.wav,1001_IEO_DIS_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Medium,,Disgust
12,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_FEA_HI.wav,1001_IEO_FEA_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,High,,Fear
13,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_FEA_LO.wav,1001_IEO_FEA_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Low,,Fear
14,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_FEA_MD.wav,1001_IEO_FEA_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Medium,,Fear
15,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_HAP_HI.wav,1001_IEO_HAP_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,High,,Happy
16,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_HAP_LO.wav,1001_IEO_HAP_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Low,,Happy
17,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_HAP_MD.wav,1001_IEO_HAP_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Medium,,Happy
18,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_NEU_XX.wav,1001_IEO_NEU_XX.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
19,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_SAD_HI.wav,1001_IEO_SAD_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,High,,Sad
20,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_SAD_LO.wav,1001_IEO_SAD_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Low,,Sad
21,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_SAD_MD.wav,1001_IEO_SAD_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,51,Caucasian,Not Hispanic,Medium,,Sad
22,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_ANG_XX.wav,1001_IOM_ANG_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
23,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_DIS_XX.wav,1001_IOM_DIS_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
24,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_FEA_XX.wav,1001_IOM_FEA_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
25,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_HAP_XX.wav,1001_IOM_HAP_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
26,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_NEU_XX.wav,1001_IOM_NEU_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
27,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_SAD_XX.wav,1001_IOM_SAD_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
28,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_ANG_XX.wav,1001_ITH_ANG_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
29,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_DIS_XX.wav,1001_ITH_DIS_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
30,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_FEA_XX.wav,1001_ITH_FEA_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
31,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_HAP_XX.wav,1001_ITH_HAP_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
32,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_NEU_XX.wav,1001_ITH_NEU_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
33,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_SAD_XX.wav,1001_ITH_SAD_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
34,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_ANG_XX.wav,1001_ITS_ANG_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
35,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_DIS_XX.wav,1001_ITS_DIS_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
36,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_FEA_XX.wav,1001_ITS_FEA_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
37,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_HAP_XX.wav,1001_ITS_HAP_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
38,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_NEU_XX.wav,1001_ITS_NEU_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
39,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_SAD_XX.wav,1001_ITS_SAD_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
40,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_ANG_XX.wav,1001_IWL_ANG_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
41,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_DIS_XX.wav,1001_IWL_DIS_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
42,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_FEA_XX.wav,1001_IWL_FEA_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
43,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_HAP_XX.wav,1001_IWL_HAP_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
44,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_NEU_XX.wav,1001_IWL_NEU_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
45,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWL_SAD_XX.wav,1001_IWL_SAD_XX.wav,.wav,Crema_1001,I would like a new alarm clock,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
46,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_ANG_XX.wav,1001_IWW_ANG_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
47,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_DIS_XX.wav,1001_IWW_DIS_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Unspecified,,Disgust
48,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_FEA_XX.wav,1001_IWW_FEA_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Unspecified,,Fear
49,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_HAP_XX.wav,1001_IWW_HAP_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Unspecified,,Happy
50,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_NEU_XX.wav,1001_IWW_NEU_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Unspecified,,Neutral
51,CREMA-D,./dataset/crema-d\AudioWAV\1001_IWW_SAD_XX.wav,1001_IWW_SAD_XX.wav,.wav,Crema_1001,I wonder what this is about,Male,51,Caucasian,Not Hispanic,Unspecified,,Sad
52,CREMA-D,./dataset/crema-d\AudioWAV\1001_MTI_ANG_XX.wav,1001_MTI_ANG_XX.wav,.wav,Crema_1001,Maybe tomorrow it will be cold,Male,51,Caucasian,Not Hispanic,Unspecified,,Anger
